Date,AdjClosePrice,EMA12,EMA26,MACD,Signal,isBuy,isSell
3/9/12,299.826,304.294,304.205,0.0883506,0.618808,0,0
3/12/12,302.273,303.983,304.062,-0.0793705,0.479172,0,0
3/13/12,308.582,304.69,304.397,0.293389,0.442016,0,0
3/14/12,307.688,305.152,304.641,0.510768,0.455766,1,0
3/15/12,310.255,305.937,305.057,0.880068,0.540627,0,0
3/16/12,312.208,306.902,305.586,1.31517,0.695536,0,0
3/19/12,316.674,308.405,306.408,1.99731,0.95589,0,0
3/20/12,316.429,309.64,307.15,2.48946,1.2626,0,0
3/21/12,319.671,311.183,308.078,3.10528,1.63114,0,0
3/22/12,322.703,312.955,309.161,3.79424,2.06376,0,0
3/23/12,320.975,314.189,310.036,4.15291,2.48159,0,0
3/26/12,324.341,315.751,311.096,4.65516,2.9163,0,0
3/27/12,323.187,316.895,311.991,4.90357,3.31376,0,0
3/28/12,327.553,318.535,313.144,5.39056,3.72912,0,0
3/29/12,323.882,319.357,313.939,5.41781,4.06686,0,0
3/30/12,320.3,319.502,314.411,5.09172,4.27183,0,0
4/2/12,323.137,320.062,315.057,5.00454,4.41837,0,0
4/3/12,320.99,320.204,315.496,4.70786,4.47627,0,0
4/4/12,317.258,319.751,315.627,4.12412,4.40584,0,1
4/5/12,315.845,319.15,315.643,3.50701,4.22607,0,0
4/9/12,315.105,318.528,315.603,2.92458,3.96577,0,0
4/10/12,313.117,317.695,315.419,2.27634,3.62789,0,0
4/11/12,317.663,317.69,315.585,2.10513,3.32333,0,0
4/12/12,325.18,318.843,316.296,2.54668,3.168,0,0
4/13/12,311.989,317.788,315.977,1.81126,2.89665,0,0
4/16/12,302.733,315.472,314.996,0.476086,2.41254,0,0
4/17/12,304.481,313.781,314.217,-0.435954,1.84284,0,0
4/18/12,303.422,312.187,313.417,-1.23002,1.22827,0,0
4/19/12,299.351,310.213,312.375,-2.16288,0.550039,0,0
4/20/12,297.733,308.293,311.291,-2.99821,-0.159611,0,0
4/23/12,298.502,306.786,310.344,-3.55714,-0.839117,0,0
4/24/12,300.335,305.794,309.602,-3.80827,-1.43295,0,0
4/25/12,304.556,305.603,309.228,-3.62493,-1.87134,0,0
4/26/12,307.428,305.884,309.095,-3.21086,-2.13925,0,0
4/27/12,307.183,306.084,308.953,-2.86938,-2.28527,0,0
4/30/12,302.123,305.475,308.447,-2.97278,-2.42277,0,0
5/1/12,301.914,304.927,307.963,-3.03665,-2.54555,0,0
5/2/12,303.327,304.681,307.62,-2.93932,-2.6243,0,0
5/3/12,305.205,304.761,307.441,-2.67975,-2.63539,0,0
5/4/12,298.187,303.75,306.756,-3.00568,-2.70945,0,0
5/7/12,303.472,303.707,306.512,-2.80521,-2.7286,0,0
5/8/12,306.089,304.074,306.481,-2.40739,-2.66436,1,0
5/9/12,304.271,304.104,306.317,-2.21331,-2.57415,0,0
5/10/12,306.524,304.476,306.333,-1.85632,-2.43058,0,0
5/11/12,302.313,304.144,306.035,-1.89138,-2.32274,0,0
5/14/12,301.699,303.768,305.714,-1.94631,-2.24746,0,0
5/15/12,305.25,303.996,305.679,-1.68385,-2.13474,0,0
5/16/12,314.151,305.558,306.307,-0.748978,-1.85758,0,0
5/17/12,311.214,306.428,306.671,-0.242285,-1.53452,0,0
5/18/12,299.901,305.424,306.169,-0.745061,-1.37663,0,0
5/21/12,306.749,305.628,306.212,-0.58419,-1.21814,0,0
5/22/12,300.1,304.777,305.759,-0.981848,-1.17088,0,0
5/23/12,304.426,304.723,305.661,-0.937145,-1.12414,0,0
5/24/12,301.529,304.232,305.354,-1.12255,-1.12382,0,0
5/25/12,295.47,302.884,304.622,-1.73835,-1.24673,0,1
5/29/12,296.874,301.959,304.048,-2.08904,-1.41519,0,0
5/30/12,293.822,300.707,303.291,-2.58345,-1.64884,0,0
5/31/12,290.14,299.082,302.317,-3.23504,-1.96608,0,0
6/1/12,285.205,296.947,301.049,-4.10235,-2.39334,0,0
6/4/12,289.006,295.725,300.157,-4.43189,-2.80105,0,0
6/5/12,284.921,294.063,299.029,-4.96551,-3.23394,0,0
6/6/12,289.995,293.437,298.359,-4.92217,-3.57159,0,0
6/7/12,288.827,292.728,297.653,-4.92536,-3.84234,0,0
6/8/12,289.936,292.298,297.082,-4.78327,-4.03053,0,0
6/11/12,283.967,291.016,296.11,-5.0936,-4.24314,0,0
6/12/12,282.268,289.671,295.085,-5.41416,-4.47734,0,0
6/13/12,280.265,288.224,293.987,-5.7634,-4.73456,0,0
6/14/12,279.246,286.842,292.895,-6.05263,-4.99817,0,0
6/15/12,281.974,286.093,292.086,-5.99269,-5.19708,0,0
6/18/12,285.14,285.947,291.572,-5.62482,-5.28262,0,0
6/19/12,290.475,286.643,291.49,-4.84694,-5.19549,1,0
6/20/12,288.467,286.924,291.266,-4.34243,-5.02488,0,0
6/21/12,282.323,286.216,290.604,-4.38779,-4.89746,0,0
6/22/12,285.455,286.099,290.223,-4.12349,-4.74266,0,0
6/25/12,280.07,285.172,289.471,-4.29896,-4.65392,0,0
6/26/12,282.058,284.693,288.922,-4.22886,-4.56891,0,0
6/27/12,284.366,284.642,288.584,-3.94166,-4.44346,0,0
6/28/12,281.874,284.216,288.087,-3.87056,-4.32888,0,0
6/29/12,289.746,285.067,288.21,-3.14277,-4.09166,0,0
7/2/12,289.946,285.818,288.338,-2.52081,-3.77749,0,0
7/3/12,293.622,287.018,288.73,-1.71152,-3.36429,0,0
7/5/12,297.663,288.656,289.392,-0.735599,-2.83856,0,0
7/6/12,292.698,289.278,289.636,-0.35868,-2.34258,0,0
7/9/12,292.713,289.806,289.864,-0.0580887,-1.88568,0,0
7/10/12,290.56,289.922,289.916,0.00633994,-1.50728,0,0
7/11/12,285.31,289.213,289.575,-0.362039,-1.27823,0,0
7/12/12,284.956,288.558,289.233,-0.674819,-1.15755,0,0
7/13/12,287.973,288.468,289.139,-0.671513,-1.06034,0,0
7/16/12,287.173,288.269,288.994,-0.725022,-0.993277,0,0
7/17/12,288.077,288.239,288.926,-0.686563,-0.931934,0,0
7/18/12,290.09,288.524,289.012,-0.488026,-0.843152,0,0
7/19/12,296.234,289.71,289.547,0.163192,-0.641883,0,0
7/20/12,305.105,292.079,290.699,1.37922,-0.237663,0,0
7/23/12,307.448,294.443,291.94,2.5031,0.31049,0,0
7/24/12,303.482,295.834,292.795,3.03874,0.85614,0,0
7/25/12,303.692,297.043,293.602,3.4405,1.37301,0,0
